age_cov,cov_all,fast_fraction,fulldate,grid_cell,min_season_cov
0.65,0.375,0.6,2011-06-02,117,0.5
0.65,0.3,0.6,2012-06-02,117,0.5
0.65,0.25,0.6,2009-06-02,118,0.5
0.65,0.32,0.6,2010-06-02,118,0.5
0.65,0.375,0.6,2011-06-02,118,0.5
0.65,0.3,0.6,2012-06-02,118,0.5
0.65,1.0,0.6,2014-06-21,118,0.5
0.65,0.33333333333333304,0.6,2015-01-13,118,0.5
0.65,1.0,0.6,2017-06-21,118,0.5
0.65,0.25,0.6,2009-06-02,119,0.5
0.65,0.32,0.6,2010-06-02,119,0.5
0.65,0.375,0.6,2011-06-02,119,0.5
0.65,0.3,0.6,2012-06-02,119,0.5
0.65,1.0,0.6,2015-03-15,119,0.5
0.65,0.25,0.6,2009-06-02,120,0.5
0.65,0.32,0.6,2010-06-02,120,0.5
0.65,0.857142857142857,0.6,2012-07-24,120,0.5
0.65,0.8,0.6,2012-08-11,120,0.5
0.65,0.9285714285714292,0.6,2012-08-18,120,0.5
0.65,0.933333333333333,0.6,2012-09-15,120,0.5
0.65,0.25,0.6,2009-06-02,121,0.5
0.65,0.32,0.6,2010-06-02,121,0.5
0.65,0.375,0.6,2011-06-02,121,0.5
0.65,0.3,0.6,2012-06-02,121,0.5
0.65,0.25,0.6,2009-06-02,122,0.5
0.65,0.32,0.6,2010-06-02,122,0.5
0.65,0.375,0.6,2011-06-02,122,0.5
0.65,0.3,0.6,2012-06-02,122,0.5
0.65,0.25,0.6,2009-06-02,123,0.5
0.65,0.32,0.6,2010-06-02,123,0.5
0.65,0.375,0.6,2011-06-02,123,0.5
0.65,0.3,0.6,2012-06-02,123,0.5
0.65,1.0,0.6,2014-06-21,123,0.5
0.65,1.0,0.6,2017-06-21,123,0.5
0.65,0.25,0.6,2009-06-02,124,0.5
0.65,0.32,0.6,2010-06-02,124,0.5
0.65,0.375,0.6,2011-06-02,124,0.5
0.65,0.3,0.6,2012-06-02,124,0.5
0.65,1.0,0.6,2014-06-20,124,0.5
0.65,1.0,0.6,2017-06-20,124,0.5
0.65,0.25,0.6,2009-06-02,125,0.5
0.65,0.32,0.6,2010-06-02,125,0.5
0.65,0.615384615384615,0.6,2012-07-24,125,0.5
0.65,0.7142857142857142,0.6,2012-07-26,125,0.5
0.65,0.833333333333333,0.6,2012-08-31,125,0.5
0.65,0.25,0.6,2009-06-02,126,0.5
0.65,0.32,0.6,2010-06-02,126,0.5
0.65,1.0,0.6,2012-11-10,126,0.5
0.65,0.25,0.6,2009-06-02,127,0.5
0.65,0.32,0.6,2010-06-02,127,0.5
0.65,1.0,0.6,2012-10-11,127,0.5
0.65,0.8,0.6,2012-12-17,127,0.5
0.65,0.25,0.6,2009-06-02,128,0.5
0.65,0.32,0.6,2010-06-02,128,0.5
0.65,1.0,0.6,2012-10-11,128,0.5
0.65,0.75,0.6,2013-03-18,128,0.5
0.65,0.25,0.6,2009-06-02,129,0.5
0.65,0.32,0.6,2010-06-02,129,0.5
0.65,0.75,0.6,2012-08-03,129,0.5
0.65,0.8,0.6,2012-08-04,129,0.5
0.65,0.833333333333333,0.6,2012-08-29,129,0.5
0.65,0.25,0.6,2009-06-02,130,0.5
0.65,0.32,0.6,2010-06-02,130,0.5
0.65,0.375,0.6,2011-06-02,130,0.5
0.65,0.3,0.6,2012-06-02,130,0.5
0.65,0.25,0.6,2009-06-02,131,0.5
0.65,0.32,0.6,2010-06-02,131,0.5
0.65,0.375,0.6,2011-06-02,131,0.5
0.65,0.3,0.6,2012-06-02,131,0.5
0.65,0.25,0.6,2009-06-02,132,0.5
0.65,0.32,0.6,2010-06-02,132,0.5
0.65,0.375,0.6,2011-06-02,132,0.5
0.65,0.3,0.6,2012-06-02,132,0.5
0.65,1.0,0.6,2014-06-21,132,0.5
0.65,1.0,0.6,2017-06-21,132,0.5
0.65,0.25,0.6,2009-06-02,133,0.5
0.65,0.32,0.6,2010-06-02,133,0.5
0.65,0.375,0.6,2011-06-02,133,0.5
0.65,0.3,0.6,2012-06-02,133,0.5
0.65,0.25,0.6,2009-06-02,134,0.5
0.65,0.32,0.6,2010-06-02,134,0.5
0.65,0.375,0.6,2011-06-02,134,0.5
0.65,0.3,0.6,2012-06-02,134,0.5
0.65,0.923076923076923,0.6,2014-06-20,134,0.5
0.65,0.923076923076923,0.6,2017-06-20,134,0.5
0.65,0.25,0.6,2009-06-02,135,0.5
0.65,0.32,0.6,2010-06-02,135,0.5
0.65,0.375,0.6,2011-06-02,135,0.5
0.65,0.3,0.6,2012-06-02,135,0.5
0.65,0.25,0.6,2009-06-02,136,0.5
0.65,0.32,0.6,2010-06-02,136,0.5
0.65,0.375,0.6,2011-06-02,136,0.5
0.65,0.3,0.6,2012-06-02,136,0.5
0.65,0.25,0.6,2009-06-02,137,0.5
0.65,0.32,0.6,2010-06-02,137,0.5
0.65,1.0,0.6,2012-08-03,137,0.5
0.65,1.0,0.6,2012-08-29,137,0.5
0.65,0.25,0.6,2009-06-02,138,0.5
0.65,0.32,0.6,2010-06-02,138,0.5
0.65,0.33333333333333304,0.6,2012-08-03,138,0.5
0.65,0.75,0.6,2012-08-29,138,0.5
0.65,1.0,0.6,2012-09-15,138,0.5
0.65,0.5,0.6,2012-11-03,138,0.5
0.65,0.8461538461538459,0.6,2012-11-21,138,0.5
0.65,0.25,0.6,2009-06-02,139,0.5
0.65,0.32,0.6,2010-06-02,139,0.5
0.65,0.375,0.6,2011-06-02,139,0.5
0.65,0.3,0.6,2012-06-02,139,0.5
0.65,0.833333333333333,0.6,2014-09-14,139,0.5
0.65,0.833333333333333,0.6,2017-09-14,139,0.5
0.65,0.25,0.6,2009-06-02,140,0.5
0.65,0.32,0.6,2010-06-02,140,0.5
0.65,0.375,0.6,2011-06-02,140,0.5
0.65,0.3,0.6,2012-06-02,140,0.5
0.65,0.25,0.6,2009-06-02,141,0.5
0.65,0.32,0.6,2010-06-02,141,0.5
